"Timestamp","1-Quel est ton numéro étudiant ?","2-D'où viens tu ?","3-Quel parcours avez vous fait avant d’intégrer l'ensim","4-As-tu déjà passé le TOEIC ? Tu peux mettre ton score dans autre","5-Quelles sont les associations de l'ensim qui t’intéresse ?","5-Plutôt...","6-Quel est ton personnage de fiction préféré ?","7-Que fais-tu de ton temps libre ?","8-Quels sont tes films/séries préférées ?","9-Quel est ton navigateur préféré ?","10-Quel langage de programmation as-tu déjà utilisé ?","11-As-tu déjà utilisé ? [Une carte Arduino/Raspberry]","11-As-tu déjà utilisé ? [Des logiciels de retouche (Paint, Photoshop)]","11-As-tu déjà utilisé ? [Linux]","11-As-tu déjà utilisé ? [Mac]","11-As-tu déjà utilisé ? [Windows]","11-As-tu déjà utilisé ? [Des logiciels de montage vidéo]","11-As-tu déjà utilisé ? [Des logiciels de CAO (solidworks)]","11-As-tu déjà utilisé ? [Des logiciels de création de jeux vidéos (Unity, Unreal)]","12-As-tu déjà réalisé ? [Des logos]","12-As-tu déjà réalisé ? [Un robot]","12-As-tu déjà réalisé ? [Une application mobile]","12-As-tu déjà réalisé ? [Un jeu video]","12-As-tu déjà réalisé ? [Un logiciel sur pc]","12-As-tu déjà réalisé ? [Un système électronique (capteurs...)]","13-Que penses-tu de ? [Visual studio]","13-Que penses-tu de ? [NotePad++]","13-Que penses-tu de ? [Codblock]","13-Que penses-tu de ? [AndroidStudio]","13-Que penses-tu de ? [Eclipse]","13-Que penses-tu de ? [IntellJ]","13-Que penses-tu de ? [LabView]","13-Que penses-tu de ? [Unity]","13-Que penses-tu de ? [UnrealEngine]","13-Que penses-tu de ? [SublimeText]","13-Que penses-tu de ? [Atom]","13-Que penses-tu de ? [Anaconda]","13-Que penses-tu de ? [Ionic]"
"2020/10/16 3:04:28 PM GMT+1","20205217","France","Prepa TSI","Non","Je ne sais pas encore. ","Android","Hachiman Hikigaya from Oregairu.","Jeux vidéos et animés japonais. ","Breaking Bad, The Walking Dead, Game of Thrones. ","Chrome","Python","Un peu","Un peu","Jamais","Jamais","Tout le temps","Jamais","Un peu","Jamais","Jamais","Un peu","Jamais","Jamais","Jamais","Jamais","Connais pas","J'aime bien","Je n'aime pas","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas"
"2020/10/16 3:56:57 PM GMT+1","205468","Maroc","DUT","Non","BDE;BDLC;Cultu;Jensim;Infographie;MAO;GALA;ENSIMIEN;KFET;ENSIM is running;K'verne;Trublions du Plateau;VASI;ENSIM'Elec;Abobinables","Apple","Lucifer","Sortir,dormir,améliorer mes compétences dans ce que j’aime faire, créer des apllications","Breaking bad","Chrome","Java;C;HTML5 CSS;JavaScript","Jamais","Jamais","Un peu","Jamais","Jamais;Tout le temps","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Je suis fan","Je n'aime pas","Je n'aime pas","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas","Connais pas","Je n'aime pas"
"2020/10/16 4:09:09 PM GMT+1","20206022","Nouvelle-Calédonie ","DUT;Prépa ATS","Oui","Je ne sais pas","Android","Jhon wick","Je lis des web novel, des mangas","Solo leveling,jhon wick","Chrome","Java;C;HTML5 CSS;Python","Un peu","Un peu","Jamais","Un peu","Régulièrement","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Un peu","Connais pas","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas"
"2020/10/16 4:13:13 PM GMT+1","20202888","France","DUT","Non","Infographie","Android","Garrius","Lire, jouer à des jeux vidéo","Interstellar","Firefox","Java;C;C++;HTML5 CSS;Python","Régulièrement","Un peu","Un peu","Jamais","Tout le temps","Un peu","Régulièrement","Un peu","Un peu","Régulièrement","Un peu","Un peu","Un peu","Régulièrement","J'aime bien","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","J'aime bien","J'aime bien","J'aime bien","Connais pas","Connais pas","J'aime bien","Connais pas"
"2020/10/16 4:13:15 PM GMT+1","197264","Cameroun","Licence","Non","Jensim;ENSIMIEN;ENSIM'Elec","Apple","Wonder Woman ","Je médite ","The catch","Chrome","C;Python","Un peu","Un peu","Jamais","Jamais","Tout le temps","Un peu","Un peu","Jamais","Un peu","Jamais","Jamais","Jamais","Jamais","Un peu","J'aime bien","Connais pas","Je suis fan","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas"
"2020/10/16 4:27:28 PM GMT+1","20205281","France","BTS","Non","Jensim","Apple;Android","Ironman","Netflix, babbel, mooc, ..."," Series Marvel, films CAT8, films Hunger Games, films divergente, ","Chrome;Brave","Java;C#;HTML5 CSS;Php;Python;JavaScript;CMS","Régulièrement","Un peu","Régulièrement","Jamais","Tout le temps","Un peu","Un peu","Un peu","Un peu","Jamais","Régulièrement","Jamais","Régulièrement","Un peu","J'aime bien","Je n'aime pas","Je n'aime pas","Je suis fan","Je n'aime pas","Je suis fan","Connais pas","J'aime bien","Connais pas","J'aime bien","Je n'aime pas","J'aime bien","Connais pas"
"2020/10/16 4:45:57 PM GMT+1","205266","Bretagne","BTS","Non","BDE;KFET","Android","Jack Sparrow","Skate, jeux, Netflix ","Fiche club/friend","Chrome","C;C++","Un peu","Un peu","Un peu","Jamais","Tout le temps","Un peu","Un peu","Jamais","Jamais","Jamais","Un peu","Jamais","Jamais","Un peu","Connais pas","Je n'aime pas","J'aime bien","Connais pas","Connais pas","Connais pas","Je n'aime pas","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas"
"2020/10/16 5:01:40 PM GMT+1","203085","France","DUT","Non","Jensim;K'verne;ENSIM is Gaming","Android","Braum","Je suis avec mes amis, je joue, je lis etc","Seigneur des Anneaux, Game of Thrones, Viking","Firefox;Opéra GX","Java;C;C++;HTML5 CSS;Php;Python;JavaScript;Assembleur","Régulièrement","Un peu","Un peu","Jamais","Tout le temps","Régulièrement","Un peu","Jamais","Un peu","Régulièrement","Un peu","Un peu","Un peu","Régulièrement","Je suis fan","Je n'aime pas","Je n'aime pas","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas"
"2020/10/16 5:07:18 PM GMT+1","20191920","France","Prépa classique","Non","BDLC","Android","Abe no Seimei","Lecture, séries, tricot","Seigneur des Anneaux, Doctor Who","Firefox","C;HTML5 CSS;Python","Un peu","Un peu","Un peu","Un peu","Tout le temps","Un peu","Un peu","Un peu","Un peu","Jamais","Jamais","Jamais","Jamais","Jamais","Connais pas","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","J'aime bien","Connais pas"
"2020/10/16 5:34:23 PM GMT+1","205371","France","DUT;1 année d'ingénieur après dut","Non","BDE;BDLC;K'verne;Trublions du Plateau","Android","Gon","Je regardes des vidéos","Star wars, One piece, HxH","Brave","Java;C;HTML5 CSS;Php;Python;JavaScript;Assembleur","Un peu","Régulièrement","Régulièrement","Un peu","Tout le temps","Régulièrement","Jamais;Un peu","Régulièrement","Un peu","Un peu","Régulièrement","Un peu","Régulièrement","Un peu","Je n'aime pas","J'aime bien","Je n'aime pas","Je suis fan","Je n'aime pas","Je suis fan","Connais pas","J'aime bien","J'aime bien","Je suis fan","J'aime bien","J'aime bien","Connais pas"
"2020/10/21 2:52:01 PM GMT+1","20205195","France","Prépa classique","Non","ENSIM'Elec","Android","Eragon","Programmation et jeux vidéos ","Aucuns","Firefox;Brave","Java;C;C++;HTML5 CSS;Python","Régulièrement","Régulièrement","Régulièrement","Jamais","Tout le temps","Tout le temps","Régulièrement","Jamais","Un peu","Un peu","Un peu","Jamais","Régulièrement","Jamais","Je n'aime pas","J'aime bien","Je n'aime pas","J'aime bien","Je suis fan","Connais pas","Connais pas","Je n'aime pas","J'aime bien","J'aime bien","Connais pas","Je n'aime pas","Connais pas"
"2020/10/21 5:08:45 PM GMT+1","20182355","France","Prépa intégrée","Non","BDE;BDLC;MAO;ENSIMIEN;K'verne;VASI;ENSIM'Elec;Abobinables","Android","Rick Deckard","Plein de choses","Westworld, The eternal sunshine of the spotless mind","Firefox","Java;C;C++;C#;HTML5 CSS;Php;Python;JavaScript","Régulièrement","Un peu","Un peu","Jamais","Tout le temps","Un peu","Un peu","Régulièrement","Jamais","Jamais","Jamais","Jamais","Jamais","Jamais","Je n'aime pas","J'aime bien","J'aime bien","Je n'aime pas","Je suis fan","J'aime bien","Connais pas","J'aime bien","Je n'aime pas","Je suis fan","Je suis fan","Je suis fan","Connais pas"
"2020/10/21 5:23:28 PM GMT+1","20182116","France","Prépa intégrée","Non","Jensim;Trublions du Plateau;ENSIM'Elec","Android","Je sais pas trop ","Je retrouve des amis","Westworld, Handmaid's Tale, Dexter...","Firefox;Opera","C;HTML5 CSS;Python;JavaScript","Un peu","Un peu","Jamais","Jamais","Tout le temps","Un peu","Un peu","Jamais","Un peu","Jamais","Jamais","Jamais","Jamais","Jamais","Connais pas","J'aime bien","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas","Connais pas"
"2020/10/21 5:29:00 PM GMT+1","20205886","Tunisie","Prépa classique","Non","Jensim;KFET;ENSIM'Elec","Android","Killua (hxh)","Jeux videos","Got /Breaking bad /Lucifer/Peaky blinders/","Chrome","C++;Python","Un peu","Un peu","Régulièrement","Jamais","Un peu;Régulièrement;Tout le temps","Un peu","Jamais","Jamais","Jamais","Jamais","Un peu","Jamais","Jamais","Jamais","Connais pas","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas"
"2020/10/22 10:55:16 AM GMT+1","205361","Maroc","Licence","Non","ENSIM'Elec","Apple","Gen xmen","Sport","Casa de papel","Chrome","Java;C;HTML5 CSS;Php;Python;JavaScript;Assembleur","Jamais","Un peu","Régulièrement","Un peu","Tout le temps","Jamais","Jamais","Jamais","Régulièrement","Jamais","Jamais","Un peu","Un peu","Jamais","Connais pas","Je n'aime pas","Je suis fan","J'aime bien","Je suis fan","Connais pas","Connais pas","Connais pas","Connais pas","Je suis fan","Connais pas","Je suis fan","Connais pas"
"2020/10/22 6:08:10 PM GMT+1","20205322","Benin","Prépa classique;Licence","Oui","ENSIM'Elec","Android","Christian Grey ","Je code ","Élite ","Chrome","Java;C;HTML5 CSS;Php;Python;JavaScript","Un peu","Un peu","Régulièrement","Jamais","Régulièrement","Un peu","Un peu","Jamais","Jamais","Jamais","Jamais","Jamais","Un peu","Un peu","J'aime bien","J'aime bien","J'aime bien","Connais pas","J'aime bien","Connais pas","Connais pas","Connais pas","Connais pas","J'aime bien","Connais pas","Je n'aime pas","Connais pas"
